z,H(z) [km/s/Mpc],Метод,Ссылка
0.07,69 ± 19.6,a,(1)
0.09,69 ± 12,a,(2)
0.12,68.6 ± 26.2,a,(1)
0.17,83 ± 8,a,(2)
0.179,75 ± 4,a,(3)
0.199,75 ± 5,a,(3)
0.2,72.9 ± 29.6,a,(1)
0.27,77 ± 14,a,(2)
0.28,88.8 ± 36.6,a,(1)
0.352,83 ± 14,a,(3)
0.38,81.9 ± 1.9,b,(4)
0.3802,83 ± 13.5,a,(5)
0.4,95 ± 17,a,(2)
0.4004,77 ± 10.2,a,(5)
0.4247,87.1 ± 11.2,a,(5)
0.4497,92.8 ± 12.9,a,(5)
0.47,89 ± 50,a,(6)
0.4783,80.9 ± 9,a,(5)
0.48,97 ± 62,a,(6)
0.51,90.8 ± 1.9,b,(4)
0.593,104 ± 13,a,(3)
0.61,97.8 ± 2.1,b,(4)
0.68,92 ± 8,a,(3)
0.781,105 ± 12,a,(3)
0.875,125 ± 17,a,(3)
0.88,90 ± 40,a,(6)
0.9,117 ± 23,a,(2)
1.037,154 ± 20,a,(3)
1.3,168 ± 17,a,(2)
1.363,160 ± 33.6,a,(8)
1.43,177 ± 18,a,(2)
1.53,140 ± 14,a,(2)
1.75,202 ± 40,a,(2)
1.965,186.5 ± 50.4,a,(8)
2.34,223 ± 7,c,(9)
2.36,227 ± 8,c,(10)
